Numero,Area,Centroide_x,Centroide_y,R,G,B
1,9,33.666666666666664,96.11111111111111,0,255,0
2,50,37.94,2.36,0,0,255
3,122,40.368852459016395,35.89344262295082,255,0,255
4,37,38.486486486486484,251.94594594594594,128,0,0
5,39,42.43589743589744,19.564102564102566,0,128,0
6,22,43.63636363636363,151.95454545454547,0,0,128
7,10,48.7,89.7,0,255,255
8,40,52.0,56.5,255,0,255
9,28,55.67857142857143,72.5,128,0,128
10,30,57.9,131.96666666666667,0,128,0
11,32,59.375,216.875,166,208,92
12,7,65.28571428571429,33.0,131,214,167
13,40,66.725,197.5,180,71,209
14,58,69.5,92.08620689655173,218,121,144
15,137,78.47445255474453,7.766423357664234,255,0,0
16,45,72.55555555555556,59.93333333333333,0,255,0
17,166,79.31927710843374,177.6867469879518,0,0,255
18,16,75.3125,113.125,255,0,255
19,96,81.21875,240.5,128,0,0
20,105,94.71428571428571,52.076190476190476,0,128,0
21,214,91.84579439252336,111.21028037383178,0,0,128
22,96,91.14583333333333,160.73958333333334,0,255,255
23,107,94.14018691588785,223.3644859813084,255,0,255
24,16,92.0,86.5,128,0,128
25,94,97.65957446808511,5.808510638297872,0,128,0
26,109,104.3302752293578,66.44036697247707,166,208,92
27,56,105.03571428571429,130.67857142857142,131,214,167
28,53,103.98113207547169,208.18867924528303,180,71,209
29,160,113.875,191.70625,218,121,144
30,44,105.43181818181819,245.79545454545453,255,0,0
31,135,111.07407407407408,18.414814814814815,0,255,0
32,129,120.20930232558139,5.775193798449612,0,0,255
33,98,118.25510204081633,67.94897959183673,255,0,255
34,120,121.90833333333333,154.18333333333334,128,0,0
35,65,125.13846153846154,173.92307692307693,0,128,0
36,54,126.79629629629629,114.94444444444444,0,0,128
37,112,131.08035714285714,87.4375,0,255,255
38,150,137.87333333333333,30.846666666666668,255,0,255
39,56,135.19642857142858,144.0,128,0,128
40,87,138.22988505747125,230.8735632183908,0,128,0
41,225,142.36888888888888,55.00888888888889,166,208,92
42,324,154.57716049382717,192.04320987654322,131,214,167
43,151,149.28476821192052,218.35761589403972,180,71,209
44,226,153.97787610619469,247.8495575221239,218,121,144
45,108,154.35185185185185,126.3425925925926,255,0,0
46,95,154.65263157894736,77.54736842105264,0,255,0
47,360,171.225,156.50833333333333,0,0,255
48,162,176.16666666666666,54.82098765432099,255,0,255
49,117,175.36752136752136,120.35897435897436,128,0,0
50,97,184.91752577319588,15.34020618556701,0,128,0
51,160,186.63125,42.16875,0,0,128
52,109,188.47706422018348,197.78899082568807,0,255,255
53,91,187.74725274725276,236.3846153846154,255,0,255
54,34,187.5,253.2941176470588,128,0,128
55,113,191.98230088495575,83.51327433628319,0,128,0
56,133,197.82706766917292,221.88721804511277,166,208,92
57,121,197.41322314049586,122.71900826446281,131,214,167
58,297,200.9057239057239,174.7205387205387,180,71,209
59,103,203.55339805825244,104.13592233009709,218,121,144
60,149,206.248322147651,7.845637583892618,255,0,0
61,137,210.37226277372264,207.7007299270073,0,255,0
62,303,214.33333333333334,143.68976897689768,0,0,255
63,105,213.95238095238096,243.46666666666667,255,0,255
64,292,223.64383561643837,43.736301369863014,128,0,0
65,84,216.5,95.0,0,128,0
66,93,218.05376344086022,16.247311827956988,0,0,128
67,102,220.58823529411765,193.0392156862745,0,255,255
68,93,222.38709677419354,119.88172043010752,255,0,255
69,72,229.59722222222223,252.77777777777777,128,0,128
70,116,235.63793103448276,164.81896551724137,0,128,0
71,415,243.40240963855422,90.02409638554217,166,208,92
72,88,239.95454545454547,238.5,131,214,167
73,113,243.21238938053096,138.61061946902655,180,71,209
74,106,245.1509433962264,54.31132075471698,218,121,144
75,144,247.82638888888889,115.30555555555556,255,0,0
76,112,246.875,35.080357142857146,0,255,0
77,94,250.98936170212767,178.89361702127658,0,0,255
78,77,251.36363636363637,210.85714285714286,255,0,255
79,63,251.76190476190476,193.06349206349208,128,0,0
80,44,252.0,154.0,0,128,0
