Numero,Area,Centroide_x,Centroide_y,R,G,B
1,14,24.928571428571427,156.14285714285714,0,255,0
2,51,28.88235294117647,13.196078431372548,0,0,255
3,22,36.36363636363637,239.0,255,0,255
4,55,40.72727272727273,80.92727272727272,128,0,0
5,22,41.18181818181818,1.1363636363636365,0,128,0
6,38,41.5,120.0,0,0,128
7,8,41.875,48.125,0,255,255
8,40,49.075,145.225,255,0,255
9,62,56.24193548387097,100.25806451612904,128,0,128
10,46,56.21739130434783,16.891304347826086,0,128,0
11,40,55.775,38.45,166,208,92
12,67,59.149253731343286,65.19402985074628,131,214,167
13,83,67.3132530120482,246.40963855421685,180,71,209
14,646,82.79102167182663,137.0433436532508,218,121,144
15,70,71.98571428571428,39.74285714285714,255,0,0
16,73,75.6027397260274,90.54794520547945,0,255,0
17,109,80.98165137614679,219.11926605504587,0,0,255
18,104,82.11538461538461,51.81730769230769,255,0,255
19,84,83.02380952380952,16.571428571428573,128,0,0
20,307,92.84039087947883,78.27361563517915,0,128,0
21,100,98.98,10.86,0,0,128
22,91,100.06593406593407,112.08791208791209,0,255,255
23,64,103.453125,252.875,255,0,255
24,113,111.89380530973452,28.079646017699115,128,0,128
25,87,118.8735632183908,111.63218390804597,0,128,0
26,123,126.7479674796748,40.89430894308943,166,208,92
27,343,129.64431486880466,76.87755102040816,131,214,167
28,96,130.58333333333334,241.4375,180,71,209
29,105,133.34285714285716,18.6,218,121,144
30,78,137.15384615384616,2.4615384615384617,255,0,0
31,168,148.3452380952381,60.82738095238095,0,255,0
32,110,151.13636363636363,44.25454545454546,0,0,255
33,369,158.50135501355012,103.33875338753387,255,0,255
34,105,160.86666666666667,20.79047619047619,128,0,0
35,140,165.89285714285714,81.80714285714286,0,128,0
36,131,181.1679389312977,42.717557251908396,0,0,128
37,120,184.225,58.36666666666667,0,255,255
38,480,199.51875,13.504166666666666,255,0,255
39,100,195.16,252.13,128,0,128
40,55,223.78181818181818,252.8181818181818,0,128,0
41,179,227.9217877094972,5.899441340782123,166,208,92
42,157,229.59235668789808,174.46496815286625,131,214,167
43,90,250.23333333333332,200.94444444444446,180,71,209
