Numero,Area,Centroide_x,Centroide_y,R,G,B
1,134,34.12686567164179,156.23134328358208,0,255,0
2,24,34.5,236.83333333333334,0,0,255
3,13,47.0,212.0,255,0,255
4,1,46.0,102.0,128,0,0
5,90,60.41111111111111,20.344444444444445,0,128,0
6,16,56.5,87.0,0,0,128
7,62,60.83870967741935,45.03225806451613,0,255,255
8,105,62.89523809523809,114.68571428571428,255,0,255
9,118,65.22881355932203,3.6779661016949152,128,0,128
10,78,63.05128205128205,71.61538461538461,0,128,0
11,38,62.421052631578945,232.8421052631579,166,208,92
12,51,68.17647058823529,191.27450980392157,131,214,167
13,105,72.31428571428572,91.98095238095237,180,71,209
14,81,70.0,204.0,218,121,144
15,103,85.18446601941747,178.96116504854368,255,0,0
16,462,96.07359307359307,141.28354978354977,0,255,0
17,5,84.0,255.0,0,0,255
18,55,87.21818181818182,229.38181818181818,255,0,255
19,171,97.18128654970761,31.0,128,0,0
20,49,97.83673469387755,81.9795918367347,0,128,0
21,181,104.39226519337016,205.97237569060775,0,0,128
22,178,111.84831460674157,7.061797752808989,0,255,255
23,125,109.336,59.744,255,0,255
24,60,109.71666666666667,96.16666666666667,128,0,128
25,79,108.9873417721519,235.58227848101265,0,128,0
26,167,116.35928143712574,170.59281437125748,166,208,92
27,39,111.2051282051282,252.97435897435898,131,214,167
28,70,123.1,86.48571428571428,180,71,209
29,62,123.7741935483871,71.59677419354838,218,121,144
30,388,137.32474226804123,234.69072164948454,255,0,0
31,86,136.74418604651163,159.48837209302326,0,255,0
32,192,142.546875,133.234375,0,0,255
33,108,142.1851851851852,198.11111111111111,255,0,255
34,115,149.6782608695652,182.1391304347826,128,0,0
35,138,159.31884057971016,114.06521739130434,0,128,0
36,897,171.0278706800446,140.40022296544035,0,0,128
37,90,161.77777777777777,250.42222222222222,0,255,255
38,469,178.25586353944564,206.53944562899787,255,0,255
39,386,182.08549222797927,37.181347150259064,128,0,128
40,61,195.31147540983608,252.327868852459,0,128,0
41,112,199.9375,220.79464285714286,166,208,92
42,99,202.64646464646464,117.28282828282828,131,214,167
43,89,206.7078651685393,241.42696629213484,180,71,209
44,101,210.94059405940595,207.6138613861386,218,121,144
45,169,216.28994082840237,145.50295857988166,255,0,0
46,591,219.91539763113366,173.39086294416245,0,255,0
47,118,224.77966101694915,100.55932203389831,0,0,255
48,85,222.18823529411765,112.65882352941176,255,0,255
49,142,225.88732394366198,130.74647887323943,128,0,0
50,113,231.76991150442478,194.0,0,128,0
51,54,237.55555555555554,252.8148148148148,0,0,128
52,117,242.0854700854701,206.89743589743588,0,255,255
53,154,248.2987012987013,151.97402597402598,255,0,255
54,110,251.1818181818182,95.2090909090909,128,0,128
55,72,251.22222222222223,239.52777777777777,0,128,0
