Numero,Area,Centroide_x,Centroide_y,R,G,B
1,15,18.8,65.73333333333333,0,255,0
2,296,34.108108108108105,156.38513513513513,0,0,255
3,54,29.703703703703702,201.7962962962963,255,0,255
4,4,28.0,52.25,128,0,0
5,25,30.56,31.08,0,128,0
6,113,34.38053097345133,236.91150442477877,0,0,128
7,55,38.472727272727276,66.05454545454545,0,255,255
8,132,43.04545454545455,104.4469696969697,255,0,255
9,89,46.89887640449438,211.97752808988764,128,0,128
10,60,50.333333333333336,32.31666666666667,0,128,0
11,66,51.93939393939394,186.1060606060606,166,208,92
12,18,50.5,254.22222222222223,131,214,167
13,184,59.52717391304348,20.190217391304348,180,71,209
14,239,66.78242677824268,90.34309623430963,218,121,144
15,127,60.62992125984252,45.267716535433074,255,0,0
16,160,62.7,114.74375,0,255,0
17,171,64.71929824561404,4.391812865497076,0,0,255
18,148,63.0,71.80405405405405,255,0,255
19,89,62.640449438202246,232.8988764044944,128,0,0
20,251,69.11553784860558,198.4382470119522,0,128,0
21,143,85.16783216783217,178.94405594405595,0,0,128
22,516,96.01550387596899,141.37209302325581,0,255,255
23,22,84.81818181818181,254.1818181818182,255,0,255
24,86,87.31395348837209,229.3372093023256,128,0,128
25,232,97.20689655172414,31.107758620689655,0,128,0
26,68,97.75,82.04411764705883,166,208,92
27,226,104.34070796460178,206.2212389380531,131,214,167
28,201,111.88059701492537,7.024875621890548,180,71,209
29,136,109.36764705882354,59.9264705882353,218,121,144
30,97,108.97938144329896,235.5463917525773,255,0,0
31,65,109.76923076923077,96.18461538461538,0,255,0
32,174,116.316091954023,170.60919540229884,0,0,255
33,46,111.28260869565217,252.91304347826087,255,0,255
34,71,123.09859154929578,86.4225352112676,128,0,0
35,66,123.77272727272727,71.68181818181819,0,128,0
36,392,137.25510204081633,234.6173469387755,0,0,128
37,84,136.9047619047619,159.48809523809524,0,255,255
38,191,142.58115183246073,133.20942408376965,255,0,255
39,106,142.28301886792454,198.10377358490567,128,0,128
40,115,149.6782608695652,182.1391304347826,0,128,0
41,137,159.32116788321167,114.02919708029196,166,208,92
42,870,170.91149425287355,140.683908045977,131,214,167
43,89,161.8314606741573,250.42696629213484,180,71,209
44,444,178.14414414414415,206.49774774774775,218,121,144
45,372,182.05107526881721,37.233870967741936,255,0,0
46,59,195.32203389830508,252.38983050847457,0,255,0
47,100,200.3,220.93,0,0,255
48,82,202.9390243902439,117.2560975609756,255,0,255
49,79,206.86075949367088,241.22784810126583,128,0,0
50,86,211.13953488372093,207.7093023255814,0,128,0
51,535,220.0467289719626,173.4411214953271,0,0,128
52,148,216.4527027027027,145.53378378378378,0,255,255
53,98,224.98979591836735,100.38775510204081,255,0,255
54,65,222.30769230769232,112.70769230769231,128,0,128
55,122,226.19672131147541,130.6639344262295,0,128,0
56,94,231.5531914893617,193.9255319148936,166,208,92
57,45,237.53333333333333,253.0222222222222,131,214,167
58,93,242.0,207.0,180,71,209
59,134,248.5,151.9402985074627,218,121,144
60,97,251.46391752577318,95.31958762886597,255,0,0
61,58,251.63793103448276,239.51724137931035,0,255,0
