Numero,Area,Centroide_x,Centroide_y,R,G,B
1,37,21.594594594594593,136.13513513513513,0,255,0
2,4,20.5,105.5,0,0,255
3,11,23.363636363636363,147.54545454545453,255,0,255
4,253,43.8102766798419,43.794466403162055,128,0,0
5,26,38.65384615384615,7.653846153846154,0,128,0
6,75,43.06666666666667,84.92,0,0,128
7,55,44.25454545454546,123.85454545454546,0,255,255
8,41,47.26829268292683,15.414634146341463,255,0,255
9,112,52.74107142857143,106.13392857142857,128,0,128
10,46,58.80434782608695,20.130434782608695,0,128,0
11,210,65.23809523809524,6.20952380952381,166,208,92
12,30,58.36666666666667,244.63333333333333,131,214,167
13,68,62.01470588235294,81.8529411764706,180,71,209
14,318,73.86163522012579,216.24213836477986,218,121,144
15,184,77.27717391304348,76.03804347826087,255,0,0
16,91,74.23076923076923,179.85714285714286,0,255,0
17,89,78.25842696629213,237.23595505617976,0,0,255
18,130,90.1,100.45384615384616,255,0,255
19,67,88.46268656716418,146.44776119402985,128,0,0
20,73,94.27397260273973,162.15068493150685,0,128,0
21,89,106.0561797752809,203.47191011235955,0,0,128
22,312,121.30448717948718,144.9551282051282,0,255,255
23,116,122.06896551724138,170.18965517241378,255,0,255
24,75,122.84,117.56,128,0,128
25,105,151.4,159.9047619047619,0,128,0
26,159,154.72327044025158,188.7987421383648,166,208,92
27,174,172.75862068965517,10.195402298850574,131,214,167
28,168,178.0595238095238,77.5297619047619,180,71,209
29,140,185.81428571428572,59.66428571428571,218,121,144
30,67,190.07462686567163,252.46268656716418,255,0,0
31,108,193.33333333333334,197.64814814814815,0,255,0
32,129,195.4496124031008,91.46511627906976,0,0,255
33,143,196.94405594405595,132.76923076923077,255,0,255
34,165,197.07272727272726,230.13333333333333,128,0,0
35,62,196.11290322580646,1.9838709677419355,0,128,0
36,126,204.05555555555554,39.03174603174603,0,0,128
37,127,209.748031496063,205.06299212598427,0,255,255
38,112,212.04464285714286,184.65178571428572,255,0,255
39,121,211.53719008264463,57.074380165289256,128,0,128
40,183,214.46448087431693,22.256830601092897,0,128,0
41,115,225.77391304347827,137.77391304347827,166,208,92
42,46,225.43478260869566,1.6521739130434783,131,214,167
43,91,227.43956043956044,252.1098901098901,180,71,209
44,342,238.45029239766083,168.78654970760235,218,121,144
45,760,242.10394736842105,221.48157894736843,255,0,0
46,271,243.8819188191882,78.42066420664207,0,255,0
47,55,251.98181818181817,153.36363636363637,0,0,255
48,76,252.85526315789474,29.0,255,0,255
49,1,255.0,228.0,128,0,0
